R101_FEED_TEMP,R101_FEED_PRES,SA_FRAC,SA_FLOW
128.766704038866,1.9569774129396,0.0986122878,33.7552346
137.077804803419,2.69753476149294,0.0777959297,26.6297428
149.223813125571,0.501305938392362,0.0543221519,18.5946095
140.580701370912,2.03141617371,0.07022753,24.0390605
149.296514399618,1.81920017334611,0.054203883,18.5541257
113.566636964715,2.50336901380488,0.147697651,50.5572783
95.9490054994229,1.74523572799097,0.219873133,75.2631276
143.05967419724,1.93665304782547,0.0652763121,22.3442461
139.162472953783,2.3466007299885,0.0732094163,25.0597677
121.019092507853,1.11683631496494,0.121846444,41.708345
95.9490054994229,1.74523572799097,0.219873133,75.2631276
137.927706258395,2.43742124356855,0.0758964373,25.9795417
137.34125720456,2.69753476149294,0.0772027288,26.4266886
114.029152446445,2.50336901380488,0.14599729,49.9752404
149.751591526802,1.11683631496494,0.0534691007,18.3026079
121.019092507853,1.11683631496494,0.121846444,41.708345
135.735321847131,2.73579187901457,0.0808806684,27.6856566
114.329450059153,2.36210487430129,0.144899865,49.5995888
112.341221720276,2.50863975039723,0.152261184,52.1193869
137.770925916279,2.74657628390056,0.0762437484,26.0984272
101.027797132154,1.55324307268199,0.19789684,67.7405871
127.989850506117,2.47910450564378,0.100772638,34.494728
114.300947774704,1.73738881675014,0.145003802,49.6351668
116.633642211728,2.53182243901587,0.136654571,46.7772039
107.895620805406,2.60756859693623,0.169493678,58.0181129
121.072150086636,2.37310068097508,0.12167455,41.6495052
120.839367757398,1.01390965770475,0.122430014,41.9081021
98.6610732016094,1.6828368976998,0.208064956,71.2211586
95.9490054994229,1.74523572799097,0.219873133,75.2631276
116.520822309702,2.59233641184131,0.137050965,46.9128908
98.528397301838,1.74523572799097,0.208639213,71.4177284
96.9612503378002,1.59354405664665,0.215450332,73.7491916
148.706479344257,1.66908972954727,0.0551708173,18.8851098
95.1522352189794,1.79930550755157,0.223364448,76.4582133
98.6610732016094,1.73743864392103,0.208064956,71.2211586
101.015779750032,1.7256728372786,0.197948071,67.7581234
98.4059956520892,1.74523572799097,0.209169356,71.5991975
109.393002217986,2.50863975039723,0.163575685,55.9923691
114.20023759512,2.53710497865182,0.14537143,49.7610068
101.840835742221,1.74523572799097,0.194441398,66.5577805
95.9490054994229,1.74523572799097,0.219873133,75.2631276
95.9490054994229,1.74523572799097,0.219873133,75.2631276
98.4059956520892,1.59993156089733,0.209169356,71.5991975
102.89721949953,2.01464524762072,0.189984644,65.0322225
99.4141105369244,1.94196257835588,0.204813559,70.1081973
98.1906901059616,1.8545350705786,0.210102688,71.9186795
98.6610732016094,1.58882437713688,0.208064956,71.2211586
98.3720808970064,1.71653193765716,0.209316306,71.6494989
98.6634805701143,1.77166747873264,0.20805454,71.2175932
105.863071963385,1.76402331444641,0.177697239,60.8262127
98.9131710465059,1.79930550755157,0.206974937,70.8480426
95.9637225566758,1.47300533540922,0.219808721,75.2410792
95.5576351426475,1.58556203321788,0.221587091,75.8498197
88.2896719211326,1.79930550755157,0.253503973,86.7750488
95.9490054994229,1.74523572799097,0.219873133,75.2631276
95.9490054994229,1.74523572799097,0.219873133,75.2631276
95.8978240697208,1.74523572799097,0.220097162,75.3398134
97.2484545823408,1.65467112097145,0.214198512,73.3206905
95.9490054994229,1.74523572799097,0.219873133,75.2631276
99.6755392755456,1.78789944555995,0.203688115,69.7229551
